รหัสสินค้า,ชื่อสินค้า,รหัสหน่วยนับ,ชื่อหน่วยนับ,ตัวตั้ง,ตัวหาร
10316348,เชือกใยยักษ์ 8 มิล ม้วน 50 ม. NASH,ROL,ม้วน,1,1
10316350,เชือกใยยักษ์ 10 มิล ม้วน 50 ม. NASH,ROL,ม้วน,1,1
10316363,เชือกใยยักษ์ 12 มิล ม้วน 50 ม. NASH,ROL,ม้วน,1,1
10316364,เชือกใยยักษ์ 4 มิล ม้วน 100 ม. NASH,ROL,ม้วน,1,1
10316365,เชือกใยยักษ์ 6 มิล ม้วน 100 ม. NASH,ROL,ม้วน,1,1
10316366,เชือกใยยักษ์ 8 มิล ม้วน 100 ม. NASH,ROL,ม้วน,1,1
10316367,เชือกใยยักษ์ 10 มิล ม้วน 100 ม. NASH,ROL,ม้วน,1,1
10316368,เชือกใยยักษ์ 12 มิล ม้วน 100 ม. NASH,ROL,ม้วน,1,1
10316574,เตาแก๊สตั้งโต๊ะ2หัวผสม GL-GH62-7/19 FN,EA,ชิ้น,1,1
10316575,เตาแก๊สตั้งโต๊ะ1หัวอินฟาเรดSS-GY31-18 FN,EA,ชิ้น,1,1
10316576,เตาแก๊สตั้งโต๊ะ 2 หัว SS-GY72-12 FINEXT,EA,ชิ้น,1,1
10316998,เชือกใยยักษ์ 14 มิล 50 ม. NASH,ROL,ม้วน,1,1
10317320,10*16A MR-S DG เมโทรเกรย์ ก.10,B,กล่อง,1,1
10317335,16*16A MR-S DG สปาต้าดาร์กเกรย์ ก.6,B,กล่อง,1,1
10240369,กุญแจลูกปืนคอยาว50mm#L50 นิกเกิ้ลYOSHINO,EA,ชิ้น,1,1
10318876,เชือกฟาง คละสี เส้นเล็ก 170ก. NASH,ROL,ม้วน,1,1
10269811,กุญแจลูกปืน คอยาว 40mm โคเมี่ยม NASH,ZWF,ชุด,1,1
10319137,"กลอนห้องน้ำ 2(6/8)"" สตล #304 ใหญ่ NASH",ZWF,ชุด,1,1
10319590,นตมน.2บาน+มุ้ง+เหล็ก 120x110 ดอกไม้ ขาว,ZWF,ชุด,1,1
10319591,นตมน.2บาน+มุ้ง+เหล็ก 120x110 ดอกไม้ ชา,ZWF,ชุด,1,1
10319693,บานช่องแสงมิเนียม 120x40 ALG.P ขาว,ZWF,ชุด,1,1
10319695,บานช่องแสงมิเนียม 150x40 ALG.P ขาว,ZWF,ชุด,1,1
10319698,บานช่องแสงมิเนียม 180x40 ALG.P ขาว,ZWF,ชุด,1,1
10320052,ดอกสว่านเจาะเหล็ก 1/16'' NASH,EA,ชิ้น,1,1
10320073,ดอกสว่านเจาะเหล็ก  5/64'' NASH,EA,ชิ้น,1,1
10320074,ดอกสว่านเจาะเหล็ก 3/32'' NASH,EA,ชิ้น,1,1
10320075,ดอกสว่านเจาะเหล็ก  7/64'' NASH,EA,ชิ้น,1,1
10320076,ดอกสว่านเจาะเหล็ก  1/8'' NASH,EA,ชิ้น,1,1
10320077,ดอกสว่านเจาะเหล็ก  9/64'' NASH,EA,ชิ้น,1,1
10320079,ดอกสว่านเจาะเหล็ก  5/32'' NASH,EA,ชิ้น,1,1
10320080,ดอกสว่านเจาะเหล็ก  11/64'' NASH,EA,ชิ้น,1,1
10320081,ดอกสว่านเจาะเหล็ก  1/4'' NASH,EA,ชิ้น,1,1
10320082,ดอกสว่านเจาะเหล็ก  9/32'' NASH,EA,ชิ้น,1,1
10320109,ดอกสว่านเจาะเหล็ก  3/16'' NASH,EA,ชิ้น,1,1
10320110,ดอกสว่านเจาะเหล็ก 7/32'' NASH,EA,ชิ้น,1,1
10320113,ดอกสว่านเจาะเหล็ก  5/16'' NASH,EA,ชิ้น,1,1
10320114,ดอกสว่านเจาะเหล็ก 3/8'' NASH,EA,ชิ้น,1,1
10320115,ดอกสว่านเจาะเหล็ก  7/16'' NASH,EA,ชิ้น,1,1
10320116,ดอกสว่านเจาะเหล็ก  1/2'' NASH,EA,ชิ้น,1,1
10320471,พุ๊กพลาสติก  # 6 ถุง 1 กก. NASH,ZWG,แพค,1,1
10320472,พุ๊กพลาสติก  # 7 ถุง 1 กก. NASH,ZWG,แพค,1,1
10320474,พุ๊กพลาสติก  # 8 ถุง 1 กก. NASH,ZWG,แพค,1,1
10345852,"สายยู 2ตอน 4"" #DT10 สตล NASH",ZWF,ชุด,1,1
10321566,หลอด LED BULB  9W/W ECO Powermax,LOD,หลอด,1,1
